"ENTIDAD","FECHA","MUNICIPIO","CLAVE_ENTIDAD","CLAVE_MUNICIPIO","region","POBLACION","LATITUD","LONGITUD","Casos","Tasa_Casos_Positivos","Defunciones","Tasa_Defunciones","Negativos","Tasa_Casos_Negativos","Sospechosos","Tasa_Casos_Sospechosos"
"CIUDAD DE MEXICO",2020-06-27,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,42,5.53259820032484,8,1.0538282286333,47,6.19124084322066,6,0.790371171474977
"CIUDAD DE MEXICO",2020-06-28,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,58,7.64025465759145,8,1.0538282286333,101,13.3045813864955,9,1.18555675721247
"CIUDAD DE MEXICO",2020-06-29,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,58,7.64025465759145,6,0.790371171474977,78,10.2748252291747,11,1.44901381437079
"CIUDAD DE MEXICO",2020-06-30,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,87,11.4603819863872,7,0.92209970005414,140,18.4419940010828,8,1.0538282286333
"CIUDAD DE MEXICO",2020-07-01,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,99,13.0411243293371,7,0.92209970005414,155,20.4179219297703,10,1.31728528579163
"CIUDAD DE MEXICO",2020-07-02,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,75,9.87963964343722,8,1.0538282286333,118,15.5439663723412,10,1.31728528579163
"CIUDAD DE MEXICO",2020-07-03,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,73,9.61618258627889,5,0.658642642895815,93,12.2507531578622,10,1.31728528579163
"CIUDAD DE MEXICO",2020-07-04,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,54,7.1133405432748,14,1.84419940010828,77,10.1430967005955,7,0.92209970005414
"CIUDAD DE MEXICO",2020-07-05,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,57,7.50852612901229,2,0.263457057158326,106,13.9632240293913,8,1.0538282286333
"CIUDAD DE MEXICO",2020-07-06,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,69,9.08926847196224,13,1.71247087152912,126,16.5977946009745,12,1.58074234294995
"CIUDAD DE MEXICO",2020-07-07,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,58,7.64025465759145,4,0.526914114316652,118,15.5439663723412,5,0.658642642895815
"CIUDAD DE MEXICO",2020-07-08,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,70,9.2209970005414,5,0.658642642895815,130,17.1247087152912,3,0.395185585737489
"CIUDAD DE MEXICO",2020-07-09,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,83,10.9334678720705,2,0.263457057158326,133,17.5198943010287,14,1.84419940010828
"CIUDAD DE MEXICO",2020-07-10,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,106,13.9632240293913,1,0.131728528579163,210,27.6629910016242,13,1.71247087152912
"CIUDAD DE MEXICO",2020-07-11,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,52,6.84988348611647,11,1.44901381437079,108,14.2266810865496,9,1.18555675721247
"CIUDAD DE MEXICO",2020-07-12,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,54,7.1133405432748,5,0.658642642895815,85,11.1969249292288,8,1.0538282286333
"CIUDAD DE MEXICO",2020-07-13,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,98,12.909395800758,5,0.658642642895815,147,19.3640937011369,11,1.44901381437079
"CIUDAD DE MEXICO",2020-07-14,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,66,8.69408288622475,8,1.0538282286333,81,10.6700108149122,14,1.84419940010828
"CIUDAD DE MEXICO",2020-07-15,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,92,12.119024629283,9,1.18555675721247,203,26.7408913015701,10,1.31728528579163
